,ip,type,continent,country,country_capital,region,city,latitude,longitude,org,isp
0,45.14.71.21,IPv4,Asia,Japan,Tokyo,Osaka Prefecture,Osaka,34.6937378,135.5021651,365 Group LLC,xTom
2,68.183.86.5,IPv4,Asia,India,New Delhi,Karnataka,Bengaluru,12.9715987,77.5945627,"DigitalOcean, LLC","DigitalOcean, LLC"
